herd,year,adF,adM,calf,total,type,season,ad.total,ad.id,sratio,sratio.sd,herd_num,trt
Brazeau,1993,13,8,9,31,OTC,fall,22,0.9545454545454546,0.6190476190476191,0.10597116957413082,4,NA
Chase,2009,188,83,56,371,OTC,winter,315,0.8603174603174604,0.6937269372693727,0.02800038704109334,8,NA
Chase,2008,128,43,47,235,OTC,winter,188,0.9095744680851064,0.7485380116959064,0.03317760612522046,8,NA
Chase,2007,174,113,55,385,OTC,winter,330,0.8696969696969697,0.6062717770034843,0.02883971742387442,8,NA
Graham,2016,48,16,12,76,OTC,winter,64,1,0.75,0.05412658773652741,14,NA
Graham,2015,115,49,25,189,OTC,winter,164,1,0.7012195121951219,0.03574219238569907,14,NA
Graham,2009,88,31,15,134,OTC,winter,119,1,0.7394957983193278,0.04023479018300563,14,NA
Graham,2002,72,30,11,113,OTC,winter,102,1,0.7058823529411765,0.045115587579257085,14,NA
Graham,1988,79,74,35,209,OTC,winter,174,0.8793103448275862,0.5163398692810458,0.04040101343709465,14,NA
Klinse-Za,1996,105,59,17,220,OTC,winter,203,0.8078817733990148,0.6402439024390244,0.0374761426409924,20,NA
Maligne,2000,22.5,12,6,41,OTC,fall,35,0.9857142857142858,0.6521739130434783,0.0810873746295925,21,NA
Maligne,1998,26,19,15,68,OTC,fall,53,0.8490566037735849,0.5777777777777777,0.07362828823578772,21,NA
Maligne,1996,20,12,3,40,OTC,fall,37,0.8648648648648649,0.625,0.0855816496101822,21,NA
Maligne,1993,15,11,10,41,OTC,fall,31,0.8387096774193549,0.5769230769230769,0.09689066801072672,21,NA
Nakusp,2017,9,18,2,29,OTC,winter,27,1,0.3333333333333333,0.09072184232530288,23,NA
Nakusp,1996,135,20,17,172,OTC,winter,155,1,0.8709677419354839,0.0269267745925259,23,NA
Purcells South,1997,7,16,3,28,OTC,winter,25,0.92,0.30434782608695654,0.0959438755421514,29,NA
Purcells South,1995,31,23,1,63,OTC,winter,62,0.8709677419354839,0.5740740740740741,0.06729055730768654,29,NA
Rainbows,2016,20,10,2,32,OTC,fall,30,1,0.6666666666666666,0.08606629658238704,31,NA
Rainbows,2008,24,14,6,44,OTC,fall,38,1,0.631578947368421,0.07825178333421348,31,NA
Rainbows,2000,70,23,22,108,OTC,fall,86,1.0813953488372092,0.7526881720430108,0.04473923102352044,31,NA
Rainbows,1999,70,30,20,120,OTC,fall,100,1,0.7,0.045825756949558406,31,NA
Rainbows,1998,74,20,13,107,OTC,fall,94,1,0.7872340425531915,0.04221230595990551,31,NA
Rainbows,1997,81,22,3,106,OTC,fall,103,1,0.7864077669902912,0.04038294735364582,31,NA
Rainbows,1996,95,23,9,127,OTC,fall,118,1,0.8050847457627118,0.03646722441870576,31,NA
Rainbows,1995,119,43,16,178,OTC,fall,162,1,0.7345679012345679,0.034692467225076754,31,NA
Rainbows,1987,76,16,11,103,OTC,fall,92,1,0.8260869565217391,0.0395170982237559,31,NA
Rainbows,1986,66,29,22,117,OTC,fall,95,1,0.6947368421052632,0.047248231637961,31,NA
Takla,2012,36,18,12,70,OTC,winter,58,0.9310344827586208,0.6666666666666666,0.06415002990995843,34,NA
Takla,2004,64,31,12,122,OTC,winter,110,0.8636363636363636,0.6736842105263158,0.04810446910126143,34,NA
Takla,1993,48,20,14,82,OTC,winter,68,1,0.7058823529411765,0.05525508450751319,34,NA
Wolverine,2010,89,41,22,154,OTC,winter,132,0.9848484848484848,0.6846153846153846,0.0407541559714904,40,NA
Wolverine,2008,173,88,49,320,OTC,winter,271,0.96309963099631,0.6628352490421456,0.029261974440535507,40,NA
Wolverine,2007,159,101,54,348,OTC,winter,294,0.8843537414965986,0.6115384615384616,0.030227291005469843,40,NA
