herd,year,mu,tau
4,24,0.6190476190476191,89.04807692307693
7,30,0.5,136
8,38,0.6062717770034843,1202.3142610110874
8,39,0.7485380116959064,908.4685683139534
8,40,0.6937269372693727,1275.4749423224814
14,19,0.5163398692810458,612.6542935340404
14,33,0.7058823529411765,491.29999999999995
14,40,0.7394957983193278,617.7269061583578
14,46,0.7012195121951219,782.7762200532385
14,47,0.75,341.33333333333337
20,27,0.6402439024390244,712.0167877320417
21,24,0.5769230769230769,106.5212121212121
21,27,0.625,136.53333333333333
21,29,0.5777777777777777,184.4635627530364
21,31,0.6521739130434783,152.08749999999998
23,27,0.8709677419354839,1379.2129629629628
23,48,0.3333333333333333,121.50000000000004
29,26,0.5740740740740741,220.84712482468447
29,28,0.30434782608695654,108.63392857142853
31,17,0.6947368421052632,447.94932079414843
31,18,0.8260869565217391,640.3684210526316
31,26,0.7345679012345679,830.8633965213992
31,27,0.8050847457627118,751.9597254004577
31,28,0.7864077669902912,613.202581369248
31,29,0.7872340425531915,561.2054054054055
31,30,0.7,476.19047619047603
31,31,0.7526881720430108,499.60062111801227
31,39,0.631578947368421,163.30952380952382
31,47,0.6666666666666666,135
34,24,0.7058823529411765,327.5333333333334
34,35,0.6736842105263158,432.1446572580644
34,43,0.6666666666666666,242.99999999999991
40,38,0.6115384615384616,1094.464163397472
40,39,0.6628352490421456,1167.8652785076197
40,41,0.6846153846153846,602.0827624006574
