herd,wellsiteandfacility,seismic,road,cutblock
Quintette,14.000000000000002,82,67,36
Narraway AB,38,76,47,40
Burnt Pine,6,73,59,35
Bearhole Redwillow,8,50,37,15
Redrock/Prairie Creek,8,32,23,15
Graham,2,28.000000000000004,28.999999999999996,14.000000000000002
A La Peche,4,27,10,8
Klinse-Za,0,13,44,33
Banff,0,6,3,0
Maligne,0,4,8,0
Kennedy Siding,0,3,40,32
Tonquin,0,3,4,0
Brazeau,0,2,3,0
Itcha-Ilgachuz,0,2,65,46
Barkerville,0,0,85,68
Central Rockies,0,0,25,21
Charlotte Alplands,0,0,13,9
Chase,0,0,22,17
Columbia North,0,0,42,37
Columbia South,0,0,26,19
Duncan,0,0,23,19
Frisby-Boulder,0,0,48,40
George Mountain,0,0,84,75
Groundhog,0,0,69,60
Hart North,0,0,43,32
Hart South,0,0,40,31
Monashee,0,0,59,46
Nakusp,0,0,44,33
Narrow Lake,0,0,88,74
North Cariboo,0,0,41,33
Purcells Central,0,0,41,27
Purcells South,0,0,68,50
Rainbows,0,0,24,16
Scott West,0,0,76,66
South Selkirks,0,0,55.00000000000001,34
Takla,0,0,40,33
Telkwa,0,0,49,40
Tweedsmuir,0,0,33,27
Wells Gray North,0,0,46,35
Wells Gray South,0,0,32,26
Wolverine,0,0,41,25
