.variable,.value,.lower,.upper,.width,.point,.interval
beta.dist.r,-0.13391297400765761,-0.1642174311720354,-0.10268216115710767,0.95,median,qi
beta.dist.s,-0.0946688707186425,-0.24501924628878047,0.056440014179748275,0.95,median,qi
beta.rain.on.snow.r,-0.026150943788260946,-0.06775382301594643,0.014077782542051448,0.95,median,qi
beta.rain.on.snow.s,-0.08313776389271253,-0.1892214053497519,0.035690531056137946,0.95,median,qi
beta.season.r,-0.10222412368653225,-0.1138660314788246,-0.09018666283182131,0.95,median,qi
beta.snow.depth.r,0.0418605388095655,-0.0012504613548405027,0.08421258713727162,0.95,median,qi
beta.snow.depth.s,-0.02149773076491606,-0.12775440051578443,0.09681330708229595,0.95,median,qi
beta.start.spring.r,0.054717158781697695,0.02616234598045833,0.08496909286835197,0.95,median,qi
beta.start.spring.s,0.0038042566227554156,-0.10505767516839183,0.10057179952386926,0.95,median,qi
beta.warm.dry.summer.r,-3.2064303870992395e-4,-0.03241100382027624,0.030285110090294578,0.95,median,qi
beta.warm.dry.summer.s,0.0217599045820635,-0.09107380890836221,0.1298486742450766,0.95,median,qi
muR,-1.4947307478709744,-1.6906965783367174,-1.3079264457773156,0.95,median,qi
muS,7.708652647993909,7.614209748082257,7.80343823429943,0.95,median,qi
